year_approved,month_approved,revenue_median_month,revenue_perc
2016,10,107,100
2016,12,20,0
2017,1,98,2
2017,2,95,4
2017,3,96,6
2017,4,96,6
2017,5,97,8
2017,6,93,7
2017,7,94,8
2017,8,96,9
2017,9,98,10
2017,10,99,11
2017,11,99,16
2017,12,102,12
2018,1,101,13
2018,2,98,11
2018,3,102,13
2018,4,105,13
2018,5,104,14
2018,6,107,12
2018,7,104,12
2018,8,98,12
2018,9,166,0
